file,n_articles,citations_total
../data/raw/10545.jsonl.gz,1,12
../data/raw/10546.jsonl.gz,13,518
../data/raw/10547.jsonl.gz,9,143
../data/raw/10548.jsonl.gz,9,177
../data/raw/10549.jsonl.gz,16,499
../data/raw/1055.jsonl.gz,0,0
../data/raw/10550.jsonl.gz,15,395
../data/raw/10551.jsonl.gz,12,289
../data/raw/10552.jsonl.gz,10,172
../data/raw/10553.jsonl.gz,2,2
../data/raw/10554.jsonl.gz,4,58
../data/raw/10555.jsonl.gz,1,14
../data/raw/10556.jsonl.gz,19,476
../data/raw/10557.jsonl.gz,2,134
../data/raw/10558.jsonl.gz,25,574
../data/raw/10559.jsonl.gz,0,0
../data/raw/1056.jsonl.gz,0,0
../data/raw/10560.jsonl.gz,2,153
../data/raw/10561.jsonl.gz,17,634
../data/raw/10562.jsonl.gz,4,102
../data/raw/10563.jsonl.gz,9,1006
../data/raw/10564.jsonl.gz,1,0
../data/raw/10565.jsonl.gz,0,0
../data/raw/10566.jsonl.gz,1,1
../data/raw/10567.jsonl.gz,24,775
../data/raw/10568.jsonl.gz,9,412
../data/raw/10569.jsonl.gz,20,934
../data/raw/1057.jsonl.gz,0,0
../data/raw/10570.jsonl.gz,1,0
../data/raw/10571.jsonl.gz,4,146
../data/raw/10572.jsonl.gz,31,950
../data/raw/10573.jsonl.gz,35,1332
../data/raw/10574.jsonl.gz,8,172
../data/raw/10575.jsonl.gz,25,523
../data/raw/10576.jsonl.gz,30,1086
../data/raw/10577.jsonl.gz,1,1
../data/raw/10578.jsonl.gz,17,764
../data/raw/10579.jsonl.gz,9,654
../data/raw/1058.jsonl.gz,0,0
../data/raw/10580.jsonl.gz,0,0
../data/raw/10581.jsonl.gz,15,298
../data/raw/10582.jsonl.gz,0,0
../data/raw/10583.jsonl.gz,14,887
../data/raw/10584.jsonl.gz,2,56
../data/raw/10585.jsonl.gz,26,1108
../data/raw/10586.jsonl.gz,2,58
../data/raw/10587.jsonl.gz,9,145
../data/raw/10588.jsonl.gz,4,64
../data/raw/10589.jsonl.gz,11,550
../data/raw/1059.jsonl.gz,0,0
../data/raw/10590.jsonl.gz,8,188
../data/raw/10591.jsonl.gz,1,6
../data/raw/10592.jsonl.gz,11,193
../data/raw/10593.jsonl.gz,20,554
